,0,0
0,0.0,-6.508722764149004e-05
1,0.2,-0.00011506673245147259
2,0.4,-0.00016503282105874916
3,0.6000000000000001,-0.00021499102462614958
4,0.8,-0.00026494284728924647
5,1.0,-0.00031488870702565887
6,1.2000000000000002,-0.00036482745598314666
7,1.4000000000000001,-0.0004147582596004041
8,1.6,-0.0004646792688139712
9,1.8,-0.0005145885153070402
10,2.0,-0.0005644836555955037
11,2.2,-0.0006143616630052786
12,2.4000000000000004,-0.0006642187513494157
13,2.6,-0.0007140507935595591
14,2.8000000000000003,-0.0007638532607189016
15,3.0,-0.0008136213562939166
16,3.2,-0.000863350267977992
17,3.4000000000000004,-0.0009130354924520844
18,3.6,-0.0009626732142137045
19,3.8000000000000003,-0.0010122607060755265
20,4.0,-0.0010617967289800736
21,4.2,-0.0011112819162081866
22,4.4,-0.0011607191639286132
23,4.6000000000000005,-0.001210114121216568
24,4.800000000000001,-0.001259475990321818
25,5.0,-0.0013088190431845312
26,5.2,-0.001358165535939017
27,5.4,-0.0014075510211273396
28,5.6000000000000005,-0.0014570337128242865
29,5.800000000000001,-0.0015067103552742496
30,6.0,-0.0015567423913417683
31,6.2,-0.0016073952645974954
32,6.4,-0.0016590993199108554
33,6.6000000000000005,-0.001712551217769643
34,6.800000000000001,-0.0017688618612060553
35,7.0,-0.0018297799915839967
36,7.2,-0.001898030790244356
37,7.4,-0.001977827274230355
38,7.6000000000000005,-0.00207564256774672
39,7.800000000000001,-0.002201376739096259
40,8.0,-0.002370121842406123
41,8.200000000000001,-0.0026048361936260693
42,8.4,-0.002940401627386599
43,8.6,-0.003429771465152755
44,8.8,-0.004153201115424944
45,9.0,-0.0052317023879297295
46,9.200000000000001,-0.006845151262022049
47,9.4,-0.009251781682498508
48,9.600000000000001,-0.012794579873402656
49,9.8,-0.017857005791606654
50,10.0,-0.024709269048998984
51,10.200000000000001,-0.03323531125500098
52,10.4,-0.0427286976067722
53,10.600000000000001,-0.052089957800144436
54,10.8,-0.06036974927497079
55,11.0,-0.06709644194727822
56,11.200000000000001,-0.07218738932296344
57,11.4,-0.07575829637568182
58,11.600000000000001,-0.07801158364502939
59,11.8,-0.07917832603281644
60,12.0,-0.07948342374295596
61,12.200000000000001,-0.07912687024385279
62,12.4,-0.07827620245165308
63,12.600000000000001,-0.07706567226694301
64,12.8,-0.07560011010204687
65,13.0,-0.07397122911594729
66,13.200000000000001,-0.07222727050414725
67,13.4,-0.07041836894006472
68,13.600000000000001,-0.06857910564407528
69,13.8,-0.06673418319777784
70,14.0,-0.06490189007689667
71,14.200000000000001,-0.06309560912977367
72,14.4,-0.06132542956036559
73,14.600000000000001,-0.05959954583530072
74,14.8,-0.057925752016477476
75,15.0,-0.0563133758113036
76,15.200000000000001,-0.05477612150827219
77,15.4,-0.053336995307235936
78,15.600000000000001,-0.052035199200830384
79,15.8,-0.050951963709366915
